iter	RMSE
281	3606.740789
282	3603.885955
283	3603.347915
284	3599.923786
285	3599.204143
286	3596.540702
287	3593.230108
288	3592.210177
289	3591.122359
290	3589.639093
291	3587.783516
292	3587.094026
293	3585.757529
294	3583.846276
295	3582.647798
296	3581.681894
297	3580.727318
298	3580.219456
299	3577.749048
300	3576.139915
301	3572.008393
302	3568.812508
303	3566.262369
304	3564.524407
305	3561.060005
306	3556.867946
307	3556.532076
308	3554.88456
309	3551.09697
310	3550.127763
311	3546.980727
312	3543.389773
313	3542.9804
314	3539.229196
315	3537.771744
316	3537.073003
317	3536.817892
318	3536.1407
319	3535.349904
320	3534.493202
321	3531.213648
322	3530.675251
323	3527.417787
324	3526.619668
325	3525.553567
326	3522.000473
327	3520.273777
328	3516.518513
329	3515.656508
330	3515.240851
331	3514.796362
332	3514.267647
333	3511.120172
334	3509.871923
335	3508.360126
336	3507.138655
337	3505.448859
338	3504.703223
339	3503.27948
340	3500.192998
341	3498.145604
342	3497.335118
343	3494.409549
344	3493.732382
345	3492.791569
346	3492.169889
347	3491.302965
348	3490.696748
349	3489.931424
350	3487.522798
351	3484.453156
352	3483.117528
353	3479.980348
354	3478.764228
355	3477.889627
356	3476.149686
357	3473.053127
358	3471.781066
359	3470.92792
360	3470.609308
361	3467.649666
362	3465.286845
363	3464.592028
364	3463.237321
365	3460.18462
366	3459.97921
367	3455.445237
368	3454.292211
369	3453.576594
370	3453.272133
371	3452.626518
372	3452.328022
373	3449.812586
374	3449.524881
375	3448.871804
376	3448.190743
377	3443.803666
378	3441.399646
379	3438.31814
380	3437.684507
381	3434.80911
382	3434.577781
383	3433.956702
384	3433.351369
385	3431.268228
386	3431.082584
387	3430.375884
388	3429.023407
389	3427.395973
390	3426.834408
391	3423.636889
392	3422.555615
393	3421.280264
394	3420.078136
395	3418.968256
396	3418.399458
397	3418.046164
398	3416.701164
399	3414.387688
400	3413.531769
401	3410.769069
402	3410.099224
403	3405.773962
404	3404.278475
405	3400.300083
406	3398.405552
407	3395.760094
408	3391.538296
409	3388.808726
410	3385.812183
411	3381.758639
412	3378.406761
413	3375.581531
414	3372.207525
415	3371.660518
416	3369.949627
417	3368.184427
418	3365.716668
419	3362.563314
420	3362.035467
421	3360.722504
422	3360.171293
423	3358.961834
424	3358.542135
425	3356.885427
426	3354.41453
427	3354.178203
428	3353.996211
429	3352.89411
430	3350.982523
431	3350.405286
432	3349.91621
433	3346.619846
434	3346.034527
435	3345.830238
436	3345.678298
437	3345.214407
438	3342.559343
439	3342.419977
440	3341.051089
441	3340.464312
442	3340.185936
443	3338.998502
444	3336.799265
445	3334.424379
446	3331.797535
447	3330.365783
448	3328.668065
449	3328.11216
450	3325.262742
451	3324.782356
452	3324.261702
453	3320.356377
454	3317.538893
455	3316.789915
456	3316.346537
457	3315.18029
458	3315.096071
459	3313.024447
460	3310.380667
461	3307.173016
462	3306.007212
463	3305.522618
464	3303.345646
465	3302.378127
466	3300.706063
467	3299.663871
468	3298.376653
469	3297.48104
470	3297.056967
471	3295.506981
472	3292.618308
473	3291.420263
474	3290.952392
475	3288.723115
476	3287.786049
477	3285.259941
478	3284.352703
479	3284.264645
480	3283.5259
481	3282.537489
482	3281.332901
483	3278.88075
484	3275.267762
485	3274.598357
486	3272.302271
487	3272.052285
488	3269.568422
489	3269.434004
490	3265.983435
491	3264.945441
492	3264.174926
493	3262.40393
494	3260.955086
495	3260.552499
496	3258.164033
497	3257.368832
498	3256.707345
499	3255.230828
500	3254.648373
501	3254.488045
502	3253.420314
503	3252.9678
504	3252.849175
505	3250.466892
506	3250.359747
507	3249.976412
508	3247.333538
509	3246.014768
510	3243.441373
511	3243.228452
512	3242.052436
513	3241.159335
514	3239.38303
515	3236.073055
516	3234.137392
517	3232.378699
518	3230.984304
519	3229.482547
520	3226.714057
521	3226.572201
522	3224.849073
523	3224.710567
524	3222.193998
525	3221.257372
526	3221.119941
527	3220.578923
528	3219.444281
529	3219.259321
530	3219.18459
531	3217.048808
532	3216.953473
533	3213.777333
534	3212.411506
535	3211.464748
536	3208.563632
537	3207.523341
538	3207.116688
539	3205.788086
540	3204.785572
541	3204.261777
542	3203.315287
543	3200.554197
544	3200.091434
545	3197.866171
546	3194.81498
547	3193.048752
548	3191.677393
549	3190.922631
550	3190.478284
551	3188.930077
552	3188.100071
553	3186.784883
554	3184.421376
555	3182.227868
556	3181.079714
557	3178.830393
558	3177.572131
559	3176.63969
560	3176.272312
561	3175.736475
562	3175.398535
563	3173.353673
564	3171.211958
565	3170.311594
566	3167.105024
567	3167.005118
568	3164.363677
569	3163.652114
570	3162.389077
571	3160.965165
572	3159.959527
573	3156.590145
574	3155.782141
575	3155.412317
576	3154.380894
577	3153.189162
578	3151.486002
579	3150.60355
580	3150.516214
581	3150.105348
582	3149.650499
583	3148.178973
584	3145.234038
585	3143.242099
586	3142.194787
587	3140.830504
588	3140.38856
589	3138.801948
590	3138.415116
591	3137.03745
592	3136.045739
593	3134.325813
594	3133.955111
595	3133.475754
596	3131.848737
597	3128.462438
598	3127.291315
599	3126.793483
600	3125.318916
601	3125.207658
602	3123.164961
603	3121.59859
604	3119.618321
605	3118.111543
606	3117.748614
607	3116.596407
608	3116.515612
609	3115.254455
610	3113.003613
611	3109.865481
612	3106.772644
613	3106.262695
614	3104.192023
615	3103.015848
616	3100.065438
617	3097.097406
618	3096.675819
619	3096.422634
620	3095.585334
621	3093.64029
622	3092.774654
623	3091.715845
624	3091.63654
625	3088.90803
626	3087.861967
627	3086.525637
628	3085.163367
629	3084.700017
630	3082.705735
631	3082.32633
632	3080.848597
633	3078.011391
634	3077.407472
635	3076.922975
636	3075.114061
637	3074.538877
638	3074.280947
639	3073.857078
640	3073.554134
641	3071.354774
642	3070.416471
643	3069.591958
644	3069.550082
645	3068.745415
646	3067.377313
647	3065.041661
648	3064.940817
649	3064.116365
650	3064.037056
651	3063.124607
652	3062.371769
653	3060.972519
654	3058.375892
655	3056.197733
656	3055.808078
657	3055.464422
658	3054.470251
659	3051.992118
660	3049.892732
661	3049.626443
662	3048.278997
663	3047.985285
664	3046.417217
665	3045.686104
666	3044.969165
667	3043.719436
668	3043.627641
669	3043.538627
670	3041.644939
671	3040.917094
672	3040.830086
673	3039.324784
674	3035.780916
675	3032.812836
676	3031.551866
677	3030.748219
678	3030.061351
679	3029.83705
680	3028.568998
681	3025.939331
682	3024.354622
683	3023.228958
684	3022.008208
685	3020.132481
686	3018.345512
687	3015.588547
688	3014.300473
689	3012.936675
690	3012.001205
691	3011.413135
692	3009.193159
693	3008.145318
694	3006.18895
695	3003.706829
696	3000.823038
697	3000.062022
698	2998.390179
699	2997.241192
700	2995.905454
701	2995.302712
702	2992.828087
703	2989.510329
704	2987.930023
705	2987.854146
706	2986.23317
707	2984.457208
708	2982.668065
709	2980.815866
710	2979.130903
711	2978.451442
712	2976.838934
713	2975.508496
714	2974.911907
715	2973.132169
716	2971.785811
717	2971.317851
718	2971.097769
719	2968.680138
720	2967.763872
721	2967.191292
722	2965.273264
723	2965.012482
724	2963.848995
725	2963.791593
726	2963.075018
727	2961.576122
728	2958.863571
729	2958.268845
730	2958.007754
731	2957.031224
732	2956.468894
733	2956.380595
734	2955.232203
735	2953.686525
736	2952.113739
737	2951.884644
738	2950.555823
739	2949.625266
740	2949.449829
741	2948.611741
742	2947.254365
743	2945.783809
744	2943.864353
745	2942.45595
746	2941.294047
747	2939.991186
748	2938.437916
749	2937.05628
750	2936.765018
751	2935.539734
752	2934.96636
753	2933.332941
754	2932.983379
755	2931.987067
756	2931.235852
757	2930.121924
758	2928.520553
759	2926.519136
760	2924.045067
761	2923.484666
762	2922.08794
763	2921.110022
764	2919.616145
765	2918.420224
766	2915.94885
767	2915.367515
768	2914.133061
769	2913.576287
770	2911.216452
771	2908.838929
772	2907.520905
773	2906.323435
774	2905.69541
775	2904.086466
776	2903.608776
777	2902.712889
778	2901.186902
779	2900.245975
780	2898.802344
781	2895.963163
782	2895.452656
783	2894.646106
784	2893.170389
785	2891.764816
786	2889.491661
787	2888.414809
788	2887.438768
789	2886.355092
790	2884.919194
791	2883.233803
792	2880.748905
793	2878.809786
794	2877.029643
795	2876.516257
796	2876.268129
797	2874.48706
798	2874.443741
799	2874.325635
800	2872.448314
801	2871.983839
802	2869.23248
803	2867.905827
804	2867.846916
805	2867.669753
806	2865.20328
807	2864.698779
808	2862.358454
809	2861.63834
810	2860.142912
811	2858.327499
812	2857.446791
813	2856.3146
814	2854.730299
815	2853.373777
816	2853.132253
817	2852.051296
818	2850.976497
819	2850.379808
820	2850.30887
821	2848.832416
822	2848.295642
823	2846.180342
824	2844.814912
825	2843.924312
826	2843.436943
827	2841.859424
828	2840.438192
829	2838.876232
830	2836.999882
831	2836.485247
832	2836.291613
833	2835.110108
834	2833.622161
835	2833.414747
836	2833.024818
837	2830.617302
838	2830.225417
839	2829.778526
840	2829.552912
841	2828.511574
842	2827.538358
843	2826.421162
844	2826.041677
845	2824.545681
846	2823.095308
847	2822.666646
848	2821.39233
849	2819.302349
850	2817.302083
851	2815.602997
852	2814.788064
853	2813.260716
854	2813.067459
855	2812.193676
856	2811.255083
857	2810.323203
858	2808.01924
859	2806.265142
860	2805.125448
861	2803.491977
862	2802.178249
863	2801.05034
864	2800.17586
865	2799.014448
866	2797.334934
867	2797.126254
868	2795.357869
869	2793.979799
870	2793.774292
871	2792.40718
872	2792.231911
873	2791.627485
874	2791.105508
875	2789.246921
876	2789.045824
877	2788.60705
878	2788.187267
879	2786.411161
880	2784.912293
881	2783.991579
882	2783.824499
883	2783.641931
884	2782.1817
885	2780.846226
886	2779.445707
887	2777.961507
888	2777.576747
889	2776.089869
890	2774.448941
891	2774.110463
892	2773.651316
893	2772.410386
894	2771.029785
895	2771.00705
896	2769.347289
897	2767.675816
898	2767.272968
899	2766.359954
900	2765.204887
901	2764.399612
902	2763.581798
903	2763.248142
904	2762.467707
905	2761.77414
906	2760.67946
907	2758.77412
908	2757.59561
909	2755.462208
910	2754.788912
911	2753.531798
912	2752.115483
913	2751.066238
914	2750.647087
915	2748.958702
916	2748.790399
917	2748.402264
918	2747.28537
919	2746.470514
920	2745.085235
921	2744.05874
922	2742.58678
923	2739.248366
924	2736.984429
925	2736.338464
926	2734.671328
927	2733.477741
928	2732.140537
929	2730.320806
930	2728.314907
931	2727.887497
932	2726.797328
933	2726.263049
934	2725.2755
935	2724.651062
936	2723.078933
937	2721.936257
938	2720.871802
939	2719.662781
940	2718.82234
941	2715.665057
942	2715.515179
943	2714.693023
944	2713.762328
945	2712.352985
946	2711.929518
947	2709.384744
948	2708.180681
949	2706.244809
950	2705.318209
951	2704.061738
952	2703.932599
953	2702.675669
954	2701.54808
955	2700.477082
956	2698.91454
957	2696.508466
958	2694.904966
959	2693.546896
960	2692.336634
961	2691.690383
962	2691.285085
963	2691.136696
964	2688.933342
965	2687.856154
966	2685.658244
967	2685.302113
968	2685.158233
969	2683.584845
970	2682.981808
971	2681.924512
972	2681.580939
973	2680.804423
974	2680.386866
975	2679.243748
976	2678.69213
977	2677.378935
978	2677.226423
979	2677.091801
980	2675.543499
981	2672.726446
982	2672.27196
983	2672.12025
984	2671.760354
985	2669.40197
986	2669.052501
987	2667.487272
988	2666.389248
989	2665.026017
990	2664.60853
991	2664.295013
992	2663.983783
993	2662.984856
994	2661.788243
995	2660.871363
996	2660.001668
997	2658.740592
998	2656.512227
999	2653.630282
